authority_name,source_category_label,cictt_code,cictt_label,mapping_confidence,mapping_notes
Transport Canada,Other,OTHR,Other,exact,"Direct equivalent. 139946 records, 25% of dataset. Counted in totals but excluded from breakdown charts since it would dominate every chart without conveying information."
Transport Canada,Unknown or undetermined,UNK,Unknown or undetermined,exact,"Distinct from OTHR. UNK means insufficient information exists to classify. OTHR means the event is known but fits no category."
Transport Canada,Bird,BIRD,Bird,exact,"Direct equivalent. Covers bird collisions and near-collisions in any phase of flight."
Transport Canada,Wildlife,WILD,Wildlife,exact,"Direct equivalent. Non-bird wildlife on aerodrome movement areas."
Transport Canada,Runway excursion,RE,Runway excursion,exact,"Direct equivalent."
Transport Canada,Abnormal runway contact,ARC,Abnormal runway contact,exact,"Direct equivalent."
Transport Canada,Controlled flight into or toward terrain,CFIT,Controlled flight into or toward terrain,exact,"Direct equivalent."
Transport Canada,Loss of control - inflight,LOC-I,Loss of control inflight,exact,"Direct equivalent."
Transport Canada,Loss of control - ground,LOC-G,Loss of control ground,exact,"Direct equivalent."
Transport Canada,System/component failure or malfunction [powerplant],SCF-PP,System/component failure powerplant,exact,"Direct equivalent."
Transport Canada,System/component failure or malfunction [non-powerplant],SCF-NP,System/component failure non-powerplant,exact,"Direct equivalent."
Transport Canada,Undershoot/overshoot,USOS,Undershoot/overshoot,exact,"Direct equivalent."
Transport Canada,Airprox/TCAS alert/loss of separation/(near) midair collisions,MAC,Airprox/TCAS alert/loss of separation/midair collisions,exact,"Direct equivalent."
Transport Canada,Fire/smoke (non-impact),F-NI,Fire/smoke non-impact,exact,"Direct equivalent."
Transport Canada,Fire/smoke (post-impact),F-POST,Fire/smoke post-impact,exact,"Direct equivalent."
Transport Canada,Turbulence encounter,TURB,Turbulence encounter,exact,"Direct equivalent."
Transport Canada,Icing,ICE,Icing,exact,"Direct equivalent."
Transport Canada,Fuel related,FUEL,Fuel related,exact,"Direct equivalent."
Transport Canada,Ground collision,GCOL,Ground collision,exact,"Direct equivalent."
Transport Canada,Ground handling,RAMP,Ground handling,exact,"Direct equivalent."
Transport Canada,Medical,MED,Medical,exact,"Direct equivalent."
Transport Canada,Security related,SEC,Security related,exact,"Direct equivalent."
Transport Canada,Evacuation,EVAC,Evacuation,exact,"Direct equivalent."
Transport Canada,Cabin safety events,CABIN,Cabin safety events,exact,"Direct equivalent."
Transport Canada,Abrupt manoeuvre,AMAN,Abrupt maneuver,exact,"Direct equivalent. Spelling differs Canadian vs US."
Transport Canada,Navigation Errors,NAV,Navigation errors,exact,"Direct equivalent."
Transport Canada,Wind shear or thunderstorm,WSTRW,Wind shear or thunderstorm,exact,"Direct equivalent."
Transport Canada,Low altitude operations,LALT,Low altitude operations,exact,"Direct equivalent."
Transport Canada,Unintended flight in IMC,UIMC,Unintended flight in IMC,exact,"Direct equivalent."
Transport Canada,Glider towing related events,GTOW,Glider towing related events,exact,"Direct equivalent."
Transport Canada,External load related occurrences,EXTL,External load related occurrences,exact,"Direct equivalent."
Transport Canada,Collision with obstacle(s) during take-off or landing whilst airborne.,CTOL,Collision with obstacles during takeoff and landing,exact,"Direct equivalent. CADORS label carries a trailing period."
Transport Canada,Aerodrome,ADRM,Aerodrome,exact,"Direct equivalent."
Transport Canada,ATM/CNS,ATM,ATM/CNS,exact,"Single CICTT code covers both air traffic management and communication/navigation/surveillance service issues."
Transport Canada,Runway Incursion,RI,Runway incursion,exact,"CICTT renamed RI-VAP to RI in April 2013. CADORS publishes both pre- and post-2013 labels, so both this and the older RI-VAP label collapse to the RI code at load."
Transport Canada,"Runway incursion - vehicle, aircraft or person",RI,Runway incursion,exact,"This is the pre-2013 RI-VAP label. CADORS publishes both it and the newer RI label concurrently - 6586 records here vs 6299 under RI - so the file carries both taxonomy versions rather than one superseding the other. Both collapse to RI at load."
Transport Canada,Runway incursion - animal,WILD,Wildlife,approximate,"CICTT retired RI-A in April 2013 and folded animal encounters into WILD. CADORS still publishes the older label. Marked approximate because WILD is scoped to the full aerodrome movement area while RI-A was scoped to runways specifically, so the mapping is directionally correct but not strictly one-to-one."
